"landX","landY","parachuteSize","weight","state"
7328.71884908256,10531.3321325399,12.993580800714,86.8164812563919,0
9233.10960380668,3791.35922369875,10.1629018120002,97.7115802932531,0
11048.5228238513,4993.77091039346,11.8125128613319,56.2819006154314,1
6647.30713411971,8568.471828673,9.45491598336957,68.537437543273,0
10931.1164527186,7641.15389255823,13.9699200396426,50.418696901761,1
10360.6728940666,5178.26756111581,17.3317503302824,96.5340671944432,1
10359.6708185417,5595.12536103785,9.75059602200054,92.4861326231621,0
6552.69900457662,3646.15863645066,12.8507259860635,95.9775347495452,0
8150.17576388577,4186.24803064337,16.9005687294994,76.0538262897171,1
6770.71791055737,8075.54900538675,11.0894066914916,79.3556839926168,0
7950.5783418075,8714.1174569976,10.203949501738,95.7140750484541,0
11154.3724647147,9792.35166210095,16.1843399477657,75.8899492095225,1
10623.1835107096,7102.88485674227,12.961555441143,96.1060889530927,0
9228.70658492946,7460.86551335032,10.4667610672768,67.2820750507526,0
7482.37458161027,2328.14048030463,16.4264186015353,88.3249972015619,1
8568.78010182456,9338.52555051233,16.4935952883679,58.3960330113769,1
7764.10410775182,7945.02094496818,18.5049045276828,65.3781832195818,1
14149.654493334,5365.87192932537,19.8072097762488,59.1911299386993,1
9928.48483338487,5859.70997199332,11.6620891182683,92.3991825780831,0
13043.975059999,7079.93460795307,15.1334167346358,74.4550662464462,1
12802.4870353741,6576.45283786242,15.9207643668633,88.6231136275455,1
12210.1846916843,9278.95402615784,9.16316648083739,98.812458163593,0
7405.61293980474,8063.38094270553,16.3356701054145,72.1112878411077,1
12577.0787536594,4389.05326153352,12.6764792143367,91.9153403956443,0
8722.41488217817,7373.79035169455,9.35162570653483,99.4981357711367,0
7479.41004718717,6922.50744901814,10.4817680781707,66.1271447897889,0
NA,NA,15.783589188708,80.0887988763861,NA
7736.72230900463,7287.31912972901,11.9396649245173,97.2349987016059,0
11140.5305553592,7012.52562104496,13.4447470617015,50.3311202861369,1
6305.45261856953,6687.43936382738,19.0485997386277,59.6443777089007,1
7577.90829835513,7623.70387811901,19.5161372104194,53.5177711979486,1
14295.7023534431,9332.92389368089,14.048744946951,94.1390825784765,0
8019.46302341697,10959.682072866,14.7102641756646,55.9095709118992,1
12196.2129631005,5637.8033182156,17.817565638572,66.5927870897576,1
